exchange,cal_date,is_open,pretrade_date
SSE,20150426,0,20150424
SSE,20150427,1,20150424
SSE,20150428,1,20150427
SSE,20150429,1,20150428
SSE,20150430,1,20150429
SSE,20150501,0,20150430
SSE,20150502,0,20150430
SSE,20150503,0,20150430
SSE,20150504,1,20150430
SSE,20150505,1,20150504
SSE,20150506,1,20150505
SSE,20150507,1,20150506
SSE,20150508,1,20150507
SSE,20150509,0,20150508
SSE,20150510,0,20150508
SSE,20150511,1,20150508
SSE,20150512,1,20150511
SSE,20150513,1,20150512
SSE,20150514,1,20150513
SSE,20150515,1,20150514
SSE,20150516,0,20150515
SSE,20150517,0,20150515
SSE,20150518,1,20150515
SSE,20150519,1,20150518
SSE,20150520,1,20150519
SSE,20150521,1,20150520
SSE,20150522,1,20150521
SSE,20150523,0,20150522
SSE,20150524,0,20150522
SSE,20150525,1,20150522
SSE,20150526,1,20150525
SSE,20150527,1,20150526
SSE,20150528,1,20150527
SSE,20150529,1,20150528
SSE,20150530,0,20150529
SSE,20150531,0,20150529
SSE,20150601,1,20150529
SSE,20150602,1,20150601
SSE,20150603,1,20150602
SSE,20150604,1,20150603
SSE,20150605,1,20150604
SSE,20150606,0,20150605
SSE,20150607,0,20150605
SSE,20150608,1,20150605
SSE,20150609,1,20150608
SSE,20150610,1,20150609
SSE,20150611,1,20150610
SSE,20150612,1,20150611
SSE,20150613,0,20150612
SSE,20150614,0,20150612
SSE,20150615,1,20150612
SSE,20150616,1,20150615
SSE,20150617,1,20150616
SSE,20150618,1,20150617
SSE,20150619,1,20150618
SSE,20150620,0,20150619
SSE,20150621,0,20150619
SSE,20150622,0,20150619
SSE,20150623,1,20150619
SSE,20150624,1,20150623
SSE,20150625,1,20150624
SSE,20150626,1,20150625
SSE,20150627,0,20150626
SSE,20150628,0,20150626
SSE,20150629,1,20150626
SSE,20150630,1,20150629
SSE,20150701,1,20150630
SSE,20150702,1,20150701
SSE,20150703,1,20150702
SSE,20150704,0,20150703
SSE,20150705,0,20150703
SSE,20150706,1,20150703
SSE,20150707,1,20150706
SSE,20150708,1,20150707
SSE,20150709,1,20150708
SSE,20150710,1,20150709
SSE,20150711,0,20150710
SSE,20150712,0,20150710
SSE,20150713,1,20150710
SSE,20150714,1,20150713
SSE,20150715,1,20150714
SSE,20150716,1,20150715
SSE,20150717,1,20150716
SSE,20150718,0,20150717
SSE,20150719,0,20150717
SSE,20150720,1,20150717
SSE,20150721,1,20150720
SSE,20150722,1,20150721
SSE,20150723,1,20150722
SSE,20150724,1,20150723
SSE,20150725,0,20150724
SSE,20150726,0,20150724
SSE,20150727,1,20150724
SSE,20150728,1,20150727
SSE,20150729,1,20150728
SSE,20150730,1,20150729
SSE,20150731,1,20150730
SSE,20150801,0,20150731
SSE,20150802,0,20150731
SSE,20150803,1,20150731
SSE,20150804,1,20150803
SSE,20150805,1,20150804
SSE,20150806,1,20150805
SSE,20150807,1,20150806
SSE,20150808,0,20150807
SSE,20150809,0,20150807
SSE,20150810,1,20150807
SSE,20150811,1,20150810
SSE,20150812,1,20150811
SSE,20150813,1,20150812
SSE,20150814,1,20150813
SSE,20150815,0,20150814
SSE,20150816,0,20150814
SSE,20150817,1,20150814
SSE,20150818,1,20150817
SSE,20150819,1,20150818
SSE,20150820,1,20150819
SSE,20150821,1,20150820
SSE,20150822,0,20150821
SSE,20150823,0,20150821
SSE,20150824,1,20150821
SSE,20150825,1,20150824
SSE,20150826,1,20150825
SSE,20150827,1,20150826
SSE,20150828,1,20150827
SSE,20150829,0,20150828
SSE,20150830,0,20150828
SSE,20150831,1,20150828
SSE,20150901,1,20150831
SSE,20150902,1,20150901
SSE,20150903,0,20150902
SSE,20150904,0,20150902
SSE,20150905,0,20150902
SSE,20150906,0,20150902
SSE,20150907,1,20150902
SSE,20150908,1,20150907
SSE,20150909,1,20150908
SSE,20150910,1,20150909
SSE,20150911,1,20150910
SSE,20150912,0,20150911
SSE,20150913,0,20150911
SSE,20150914,1,20150911
SSE,20150915,1,20150914
SSE,20150916,1,20150915
SSE,20150917,1,20150916
SSE,20150918,1,20150917
SSE,20150919,0,20150918
SSE,20150920,0,20150918
SSE,20150921,1,20150918
SSE,20150922,1,20150921
SSE,20150923,1,20150922
SSE,20150924,1,20150923
SSE,20150925,1,20150924
SSE,20150926,0,20150925
SSE,20150927,0,20150925
SSE,20150928,1,20150925
SSE,20150929,1,20150928
SSE,20150930,1,20150929
SSE,20151001,0,20150930
SSE,20151002,0,20150930
SSE,20151003,0,20150930
SSE,20151004,0,20150930
SSE,20151005,0,20150930
SSE,20151006,0,20150930
SSE,20151007,0,20150930
SSE,20151008,1,20150930
SSE,20151009,1,20151008
SSE,20151010,0,20151009
SSE,20151011,0,20151009
SSE,20151012,1,20151009
SSE,20151013,1,20151012
SSE,20151014,1,20151013
SSE,20151015,1,20151014
SSE,20151016,1,20151015
SSE,20151017,0,20151016
SSE,20151018,0,20151016
SSE,20151019,1,20151016
SSE,20151020,1,20151019
SSE,20151021,1,20151020
SSE,20151022,1,20151021
SSE,20151023,1,20151022
SSE,20151024,0,20151023
SSE,20151025,0,20151023
SSE,20151026,1,20151023
SSE,20151027,1,20151026
SSE,20151028,1,20151027
SSE,20151029,1,20151028
SSE,20151030,1,20151029
SSE,20151031,0,20151030
SSE,20151101,0,20151030
SSE,20151102,1,20151030
SSE,20151103,1,20151102
SSE,20151104,1,20151103
SSE,20151105,1,20151104
SSE,20151106,1,20151105
SSE,20151107,0,20151106
SSE,20151108,0,20151106
SSE,20151109,1,20151106
SSE,20151110,1,20151109
SSE,20151111,1,20151110
SSE,20151112,1,20151111
SSE,20151113,1,20151112
SSE,20151114,0,20151113
SSE,20151115,0,20151113
SSE,20151116,1,20151113
SSE,20151117,1,20151116
SSE,20151118,1,20151117
SSE,20151119,1,20151118
SSE,20151120,1,20151119
SSE,20151121,0,20151120
SSE,20151122,0,20151120
SSE,20151123,1,20151120
SSE,20151124,1,20151123
SSE,20151125,1,20151124
SSE,20151126,1,20151125
SSE,20151127,1,20151126
SSE,20151128,0,20151127
SSE,20151129,0,20151127
SSE,20151130,1,20151127
SSE,20151201,1,20151130
SSE,20151202,1,20151201
SSE,20151203,1,20151202
SSE,20151204,1,20151203
SSE,20151205,0,20151204
SSE,20151206,0,20151204
SSE,20151207,1,20151204
SSE,20151208,1,20151207
SSE,20151209,1,20151208
SSE,20151210,1,20151209
SSE,20151211,1,20151210
SSE,20151212,0,20151211
SSE,20151213,0,20151211
SSE,20151214,1,20151211
SSE,20151215,1,20151214
SSE,20151216,1,20151215
SSE,20151217,1,20151216
SSE,20151218,1,20151217
SSE,20151219,0,20151218
SSE,20151220,0,20151218
SSE,20151221,1,20151218
SSE,20151222,1,20151221
SSE,20151223,1,20151222
SSE,20151224,1,20151223
SSE,20151225,1,20151224
SSE,20151226,0,20151225
SSE,20151227,0,20151225
SSE,20151228,1,20151225
SSE,20151229,1,20151228
SSE,20151230,1,20151229
SSE,20151231,1,20151230
SSE,20160101,0,20151231
SSE,20160102,0,20151231
SSE,20160103,0,20151231
SSE,20160104,1,20151231
SSE,20160105,1,20160104
SSE,20160106,1,20160105
SSE,20160107,1,20160106
SSE,20160108,1,20160107
SSE,20160109,0,20160108
SSE,20160110,0,20160108
SSE,20160111,1,20160108
SSE,20160112,1,20160111
SSE,20160113,1,20160112
SSE,20160114,1,20160113
SSE,20160115,1,20160114
SSE,20160116,0,20160115
SSE,20160117,0,20160115
SSE,20160118,1,20160115
SSE,20160119,1,20160118
SSE,20160120,1,20160119
SSE,20160121,1,20160120
SSE,20160122,1,20160121
SSE,20160123,0,20160122
SSE,20160124,0,20160122
SSE,20160125,1,20160122
SSE,20160126,1,20160125
SSE,20160127,1,20160126
SSE,20160128,1,20160127
SSE,20160129,1,20160128
SSE,20160130,0,20160129
SSE,20160131,0,20160129
SSE,20160201,1,20160129
SSE,20160202,1,20160201
SSE,20160203,1,20160202
SSE,20160204,1,20160203
SSE,20160205,1,20160204
SSE,20160206,0,20160205
SSE,20160207,0,20160205
SSE,20160208,0,20160205
SSE,20160209,0,20160205
SSE,20160210,0,20160205
SSE,20160211,0,20160205
SSE,20160212,0,20160205
SSE,20160213,0,20160205
SSE,20160214,0,20160205
SSE,20160215,1,20160205
SSE,20160216,1,20160215
SSE,20160217,1,20160216
SSE,20160218,1,20160217
SSE,20160219,1,20160218
SSE,20160220,0,20160219
SSE,20160221,0,20160219
SSE,20160222,1,20160219
SSE,20160223,1,20160222
SSE,20160224,1,20160223
SSE,20160225,1,20160224
SSE,20160226,1,20160225
SSE,20160227,0,20160226
SSE,20160228,0,20160226
SSE,20160229,1,20160226
SSE,20160301,1,20160229
SSE,20160302,1,20160301
SSE,20160303,1,20160302
SSE,20160304,1,20160303
SSE,20160305,0,20160304
SSE,20160306,0,20160304
SSE,20160307,1,20160304
SSE,20160308,1,20160307
SSE,20160309,1,20160308
SSE,20160310,1,20160309
SSE,20160311,1,20160310
SSE,20160312,0,20160311
SSE,20160313,0,20160311
SSE,20160314,1,20160311
SSE,20160315,1,20160314
SSE,20160316,1,20160315
SSE,20160317,1,20160316
SSE,20160318,1,20160317
SSE,20160319,0,20160318
SSE,20160320,0,20160318
SSE,20160321,1,20160318
SSE,20160322,1,20160321
SSE,20160323,1,20160322
SSE,20160324,1,20160323
SSE,20160325,1,20160324
SSE,20160326,0,20160325
SSE,20160327,0,20160325
SSE,20160328,1,20160325
SSE,20160329,1,20160328
SSE,20160330,1,20160329
SSE,20160331,1,20160330
SSE,20160401,1,20160331
SSE,20160402,0,20160401
SSE,20160403,0,20160401
SSE,20160404,0,20160401
SSE,20160405,1,20160401
SSE,20160406,1,20160405
SSE,20160407,1,20160406
SSE,20160408,1,20160407
SSE,20160409,0,20160408
SSE,20160410,0,20160408
SSE,20160411,1,20160408
SSE,20160412,1,20160411
SSE,20160413,1,20160412
SSE,20160414,1,20160413
SSE,20160415,1,20160414
SSE,20160416,0,20160415
SSE,20160417,0,20160415
SSE,20160418,1,20160415
SSE,20160419,1,20160418
SSE,20160420,1,20160419
SSE,20160421,1,20160420
SSE,20160422,1,20160421
SSE,20160423,0,20160422
SSE,20160424,0,20160422
SSE,20160425,1,20160422
SSE,20160426,1,20160425
SSE,20160427,1,20160426
SSE,20160428,1,20160427
SSE,20160429,1,20160428
SSE,20160430,0,20160429
SSE,20160501,0,20160429
SSE,20160502,0,20160429
SSE,20160503,1,20160429
SSE,20160504,1,20160503
SSE,20160505,1,20160504
SSE,20160506,1,20160505
SSE,20160507,0,20160506
SSE,20160508,0,20160506
SSE,20160509,1,20160506
SSE,20160510,1,20160509
SSE,20160511,1,20160510
SSE,20160512,1,20160511
SSE,20160513,1,20160512
