SemiYear,Date,Cash,UnitVal,TRet,PRet,PSharpe,PMaxDD,PCalmar,PWinR,TMaxDD,TSharpe,TCalmar,TWinR,TAnnRet
2015-H2,2015-12-31,20007813.0,1.0,0.0,0.0,0.021,-0.017,0.023,0.536,-0.075,0.099,1.309,0.511,0.003
2016-H1,2016-06-30,19373030.5,0.969,-0.031,-0.032,-2.255,-0.037,-0.855,0.475,-0.075,0.099,1.309,0.511,0.003
2016-H2,2016-12-30,19896122.3,0.995,-0.005,0.027,2.547,-0.039,0.7,0.548,-0.075,0.099,1.309,0.511,0.003
2017-H1,2017-06-30,20215918.3,1.011,0.011,0.016,1.386,-0.013,1.266,0.571,-0.075,0.099,1.309,0.511,0.003
2017-H2,2017-12-29,20515174.0,1.026,0.026,0.015,1.554,-0.013,1.103,0.536,-0.075,0.099,1.309,0.511,0.003
2018-H1,2018-06-29,20594093.2,1.03,0.03,0.004,0.331,-0.02,0.188,0.487,-0.075,0.099,1.309,0.511,0.003
2018-H2,2018-12-28,20825228.6,1.041,0.041,0.011,0.981,-0.027,0.417,0.508,-0.075,0.099,1.309,0.511,0.003
2019-H1,2019-06-28,20879269.2,1.044,0.044,0.003,0.234,-0.014,0.191,0.517,-0.075,0.099,1.309,0.511,0.003
2019-H2,2019-12-31,20678889.3,1.034,0.034,-0.01,-0.893,-0.024,-0.4,0.484,-0.075,0.099,1.309,0.511,0.003
2020-H1,2020-06-30,20775946.7,1.039,0.039,0.005,0.358,-0.029,0.161,0.538,-0.075,0.099,1.309,0.511,0.003
2020-H2,2020-12-31,20327360.2,1.016,0.016,-0.022,-1.489,-0.071,-0.305,0.437,-0.075,0.099,1.309,0.511,0.003
2021-H1,2021-06-30,20267864.0,1.013,0.013,-0.003,-0.187,-0.075,-0.039,0.517,-0.075,0.099,1.309,0.511,0.003
2021-H2,2021-12-31,20587842.0,1.029,0.029,0.016,0.977,-0.057,0.279,0.544,-0.075,0.099,1.309,0.511,0.003
2022-H1,2022-06-30,19926085.8,0.996,-0.004,-0.032,-2.412,-0.072,-0.446,0.427,-0.075,0.099,1.309,0.511,0.003
2022-H2,2022-12-30,20398610.1,1.02,0.02,0.024,1.805,-0.075,0.315,0.544,-0.075,0.099,1.309,0.511,0.003
